Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,0.7a,0.8a,0.9a,TOP
4.0,0.00,13.00,25.70,38.00,49.90,61.30,72.20,82.70,92.90,103.10,113.20
3.0,0.00,6.30,12.40,18.10,23.40,28.30,32.80,37.00,40.90,44.80,48.70
2.5,0.00,4.00,7.70,11.20,14.30,16.90,19.30,21.40,23.30,25.10,26.90
2.0,0.00,2.30,4.40,6.20,7.70,8.80,9.80,10.50,11.10,11.60,12.20
1.75,0.00,1.60,3.10,4.30,5.30,5.90,6.40,6.70,6.90,7.10,7.30
1.5,0.00,1.10,2.10,2.90,3.40,3.70,3.90,3.90,3.90,3.80,3.80
1.25,0.00,0.70,1.30,1.80,2.00,2.10,2.10,2.00,1.90,1.80,1.70
1.0,0.00,0.40,0.70,0.90,1.00,1.00,1.00,0.90,0.80,0.70,0.60
0.75,0.00,0.20,0.30,0.40,0.40,0.40,0.30,0.30,0.20,0.20,0.10
0.5,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00
