Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,0.7a,0.8a,0.9a,TOP
4.0,0,0.30,0.90,1.50,2.00,2.30,2.40,2.10,1.50,0.80,0
3.0,0,0.30,0.90,1.50,2.00,2.30,2.30,2.00,1.50,0.80,0
2.5,0,0.30,0.80,1.50,2.00,2.20,2.20,2.00,1.50,0.80,0
2.0,0,0.20,0.80,1.40,1.80,2.00,2.00,1.80,1.30,0.70,0
1.75,0,0.20,0.70,1.20,1.60,1.80,1.80,1.60,1.20,0.60,0
1.5,0,0.20,0.60,1.10,1.40,1.60,1.50,1.30,1.00,0.50,0
1.25,0,0.20,0.50,0.80,1.10,1.20,1.10,1.00,0.70,0.40,0
1.0,0,0.10,0.40,0.60,0.70,0.70,0.70,0.60,0.40,0.20,0
0.75,0,0.10,0.20,0.30,0.30,0.30,0.30,0.20,0.20,0.10,0
0.5,0,0.00,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0
