Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,0.7a,0.8a,0.9a,TOP
4.0,0,2.10,4.00,5.30,6.10,6.30,5.90,5.00,3.60,1.90,0
3.0,0,2.00,3.70,4.90,5.70,5.80,5.40,4.60,3.30,1.70,0
2.5,0,1.80,3.30,4.50,5.10,5.20,4.90,4.10,2.90,1.50,0
2.0,0,1.50,2.70,3.60,4.10,4.20,3.90,3.30,2.30,1.20,0
1.75,0,1.20,2.30,3.00,3.40,3.50,3.20,2.70,1.90,1.00,0
1.5,0,1.00,1.80,2.40,2.60,2.70,2.40,2.00,1.40,0.70,0
1.25,0,0.70,1.20,1.60,1.80,1.80,1.60,1.30,0.90,0.50,0
1.0,0,0.40,0.70,0.90,1.00,1.00,0.80,0.70,0.50,0.20,0
0.75,0,0.20,0.30,0.40,0.40,0.40,0.30,0.20,0.20,0.10,0
0.5,0,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00,0
