Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,0.7a,0.8a,0.9a,TOP
4.0,0,2.10,4.00,5.40,6.20,6.40,6.00,5.00,3.60,1.90,0
3.0,0,2.00,3.80,5.20,5.90,6.10,5.70,4.80,3.40,1.80,0
2.5,0,1.90,3.60,4.90,5.60,5.70,5.40,4.50,3.20,1.70,0
2.0,0,1.70,3.20,4.30,4.90,5.10,4.70,3.90,2.80,1.50,0
1.75,0,1.60,2.90,3.90,4.40,4.50,4.20,3.50,2.50,1.30,0
1.5,0,1.30,2.50,3.30,3.80,3.90,3.60,3.00,2.10,1.10,0
1.25,0,1.10,2.00,2.60,3.00,3.00,2.80,2.30,1.60,0.80,0
1.0,0,0.80,1.40,1.80,2.00,2.00,1.90,1.50,1.10,0.60,0
0.75,0,0.40,0.80,1.00,1.10,1.00,0.90,0.80,0.50,0.30,0
0.5,0,0.20,0.30,0.30,0.30,0.30,0.30,0.20,0.10,0.10,0
