Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,0.7a,0.8a,0.9a,TOP
4.0,0,4.00,7.50,10.30,12.10,12.70,12.10,10.30,7.50,4.00,0
3.0,0,3.70,6.90,9.50,11.10,11.70,11.10,9.50,6.90,3.70,0
2.5,0,3.30,6.30,8.50,10.00,10.50,10.00,8.50,6.30,3.30,0
2.0,0,2.70,5.00,6.90,8.00,8.40,8.00,6.90,5.00,2.70,0
1.75,0,2.20,4.20,5.70,6.70,7.00,6.70,5.70,4.20,2.20,0
1.5,0,1.70,3.20,4.40,5.10,5.30,5.10,4.40,3.20,1.70,0
1.25,0,1.20,2.20,2.90,3.40,3.50,3.40,2.90,2.20,1.20,0
1.0,0,0.70,1.20,1.60,1.80,1.90,1.80,1.60,1.20,0.70,0
0.75,0,0.30,0.50,0.60,0.70,0.70,0.70,0.60,0.50,0.30,0
0.5,0,0.10,0.10,0.20,0.20,0.20,0.20,0.20,0.10,0.10,0
