Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,0.7a,0.8a,0.9a,TOP
4.00,0.00,2.00,7.40,15.20,24.90,35.80,47.50,59.60,71.80,84.20,96.50
3.00,0.00,1.60,5.80,11.80,19.00,27.00,35.30,43.70,52.20,60.60,69.00
2.50,0.00,1.30,4.60,9.20,14.60,20.40,26.40,32.40,38.30,44.10,50.00
2.00,0.00,0.90,3.10,6.20,9.60,13.10,16.60,20.00,23.20,26.40,29.60
1.75,0.00,0.70,2.40,4.60,7.10,9.50,11.90,14.10,16.20,18.20,20.30
1.50,0.00,0.50,1.70,3.20,4.80,6.40,7.80,9.00,10.20,11.30,12.40
1.25,0.00,0.40,1.10,2.10,3.00,3.80,4.50,5.10,5.60,6.00,6.60
1.00,0.00,0.20,0.70,1.10,1.60,1.90,2.10,2.30,2.50,2.60,2.80
0.75,0.00,0.10,0.30,0.50,0.60,0.70,0.80,0.80,0.80,0.80,0.90
0.50,0.00,0.00,0.10,0.10,0.20,0.20,0.20,0.20,0.20,0.20,0.20
