Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,0.7a,0.8a,0.9a,TOP
4.0,0,0.70,2.40,4.70,7.50,10.50,13.60,16.70,19.70,22.70,25.80
3.0,0,0.60,1.90,3.80,5.90,8.10,10.30,12.40,14.40,16.40,18.40
2.5,0,0.50,1.60,3.10,4.70,6.30,7.90,9.30,10.70,12.00,13.20
2.0,0,0.40,1.20,2.20,3.30,4.30,5.10,5.90,6.50,7.10,7.70
1.75,0,0.30,1.00,1.80,2.60,3.20,3.80,4.20,4.60,4.90,5.20
1.5,0,0.20,0.80,1.30,1.90,2.30,2.60,2.80,2.90,3.00,3.10
1.25,0,0.20,0.60,0.90,1.30,1.50,1.60,1.60,1.60,1.50,1.50
1.0,0,0.10,0.40,0.60,0.70,0.80,0.80,0.70,0.70,0.60,0.60
0.75,0,0.10,0.20,0.30,0.30,0.30,0.30,0.30,0.20,0.20,0.10
0.5,0,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.00,0.00,0.00
